t amplitude xerr yerr
236.73333333333338 0.12765653026560214 0.0008 0.008
238.90000000000003 0.12602882101816504 0.0008 0.008
241.10166666666672 0.12623097257927185 0.0008 0.008
243.26833333333337 0.12434549574168395 0.0008 0.008
245.47000000000003 0.12279778731678216 0.0008 0.008
247.67166666666668 0.12225550468510808 0.0008 0.008
249.8383333333334 0.12047194820227229 0.0008 0.008
252.00666666666666 0.12016285082750329 0.0008 0.008
254.2066666666667 0.1190322515638383 0.0008 0.008
256.37500000000006 0.11924424216408128 0.0008 0.008
258.57500000000005 0.11775587221514207 0.0008 0.008
260.74333333333334 0.11592463553931182 0.0008 0.008
262.9433333333333 0.11535458811522832 0.0008 0.008
265.1116666666667 0.11454737283466221 0.0008 0.008
267.28 0.11435100015233368 0.0008 0.008
