t	amplitude xerr yerr
12.17	-0.255 0.0008 0.008
12.21	-0.251 0.0008 0.008
12.24	-0.244 0.0008 0.008
12.27	-0.237 0.0008 0.008
12.31	-0.227 0.0008 0.008
12.34	-0.216 0.0008 0.008
12.37	-0.203 0.0008 0.008
12.41	-0.189 0.0008 0.008
12.44	-0.173 0.0008 0.008
12.47	-0.155 0.0008 0.008
12.51	-0.137 0.0008 0.008
12.54	-0.118 0.0008 0.008
12.57	-9.828E-2 0.0008 0.008
12.61	-7.723E-2 0.0008 0.008
12.64	-5.619E-2 0.0008 0.008
12.67	-3.484E-2 0.0008 0.008
12.71	-1.295E-2 0.0008 0.008
12.74	9.004E-3 0.0008 0.008
12.77	3.111E-2 0.0008 0.008
12.81	5.256E-2 0.0008 0.008
12.84	7.355E-2 0.0008 0.008
12.87	9.402E-2 0.0008 0.008
12.91	0.114 0.0008 0.008
12.94	0.132 0.0008 0.008
12.97	0.150 0.0008 0.008
13.01	0.167 0.0008 0.008
13.04	0.182 0.0008 0.008
13.07	0.196 0.0008 0.008
13.11	0.209 0.0008 0.008
13.14	0.219 0.0008 0.008
13.17	0.229 0.0008 0.008
13.21	0.237 0.0008 0.008
13.24	0.243 0.0008 0.008
13.27	0.247 0.0008 0.008
13.31	0.249 0.0008 0.008
13.34	0.250 0.0008 0.008
13.37	0.249 0.0008 0.008
13.41	0.245 0.0008 0.008
13.44	0.240 0.0008 0.008
13.47	0.234 0.0008 0.008
13.51	0.225 0.0008 0.008
13.54	0.215 0.0008 0.008
13.57	0.203 0.0008 0.008
13.61	0.190 0.0008 0.008
13.64	0.175 0.0008 0.008
13.67	0.159 0.0008 0.008
13.71	0.142 0.0008 0.008
13.74	0.124 0.0008 0.008
13.77	0.105 0.0008 0.008
13.81	8.486E-2 0.0008 0.008
13.84	6.443E-2 0.0008 0.008
13.87	4.335E-2 0.0008 0.008
13.91	2.209E-2 0.0008 0.008
13.94	2.716E-4 0.0008 0.008
13.97	-2.176E-2 0.0008 0.008
14.01	-4.311E-2 0.0008 0.008
14.04	-6.435E-2 0.0008 0.008
14.07	-8.513E-2 0.0008 0.008
14.11	-0.105 0.0008 0.008
14.14	-0.125 0.0008 0.008
14.17	-0.143 0.0008 0.008
14.21	-0.160 0.0008 0.008
14.24	-0.177 0.0008 0.008
14.27	-0.192 0.0008 0.008
14.31	-0.205 0.0008 0.008
14.34	-0.217 0.0008 0.008
14.37	-0.228 0.0008 0.008
14.41	-0.236 0.0008 0.008
14.44	-0.243 0.0008 0.008
14.47	-0.248 0.0008 0.008
14.51	-0.251 0.0008 0.008
14.54	-0.252 0.0008 0.008
14.57	-0.251 0.0008 0.008
14.61	-0.249 0.0008 0.008
14.64	-0.245 0.0008 0.008
14.67	-0.238 0.0008 0.008
14.71	-0.230 0.0008 0.008
14.74	-0.220 0.0008 0.008
14.77	-0.208 0.0008 0.008
14.81	-0.195 0.0008 0.008
14.84	-0.180 0.0008 0.008
