t	amplitude xerr yerr
50.65	-0.166 0.0008 0.008
50.69	-0.173 0.0008 0.008
50.72	-0.180 0.0008 0.008
50.75	-0.185 0.0008 0.008
50.79	-0.190 0.0008 0.008
50.82	-0.192 0.0008 0.008
50.85	-0.193 0.0008 0.008
50.89	-0.193 0.0008 0.008
50.92	-0.192 0.0008 0.008
50.96	-0.188 0.0008 0.008
50.99	-0.184 0.0008 0.008
51.02	-0.178 0.0008 0.008
51.06	-0.170 0.0008 0.008
51.09	-0.162 0.0008 0.008
51.12	-0.152 0.0008 0.008
51.16	-0.141 0.0008 0.008
51.19	-0.129 0.0008 0.008
51.22	-0.116 0.0008 0.008
51.26	-0.102 0.0008 0.008
51.29	-8.772E-2 0.0008 0.008
51.32	-7.274E-2 0.0008 0.008
51.36	-5.683E-2 0.0008 0.008
51.39	-4.083E-2 0.0008 0.008
51.42	-2.418E-2 0.0008 0.008
51.46	-7.383E-3 0.0008 0.008
51.49	9.127E-3 0.0008 0.008
51.52	2.569E-2 0.0008 0.008
51.56	4.181E-2 0.0008 0.008
51.59	5.776E-2 0.0008 0.008
51.62	7.338E-2 0.0008 0.008
51.66	8.861E-2 0.0008 0.008
51.69	0.103 0.0008 0.008
51.72	0.117 0.0008 0.008
51.76	0.129 0.0008 0.008
51.79	0.141 0.0008 0.008
51.82	0.151 0.0008 0.008
51.86	0.161 0.0008 0.008
51.89	0.169 0.0008 0.008
51.92	0.176 0.0008 0.008
51.96	0.182 0.0008 0.008
51.99	0.186 0.0008 0.008
52.02	0.190 0.0008 0.008
52.06	0.191 0.0008 0.008
52.09	0.191 0.0008 0.008
52.12	0.190 0.0008 0.008
52.16	0.187 0.0008 0.008
52.19	0.183 0.0008 0.008
52.22	0.178 0.0008 0.008
52.26	0.172 0.0008 0.008
52.29	0.164 0.0008 0.008
52.32	0.154 0.0008 0.008
52.36	0.144 0.0008 0.008
52.39	0.132 0.0008 0.008
52.42	0.120 0.0008 0.008
52.46	0.106 0.0008 0.008
52.49	9.234E-2 0.0008 0.008
52.52	7.788E-2 0.0008 0.008
52.56	6.230E-2 0.0008 0.008
52.59	4.633E-2 0.0008 0.008
52.62	3.029E-2 0.0008 0.008
52.66	1.375E-2 0.0008 0.008
52.69	-2.828E-3 0.0008 0.008
52.72	-1.961E-2 0.0008 0.008
52.76	-3.565E-2 0.0008 0.008
52.79	-5.135E-2 0.0008 0.008
52.82	-6.703E-2 0.0008 0.008
52.86	-8.236E-2 0.0008 0.008
52.89	-9.686E-2 0.0008 0.008
52.92	-0.111 0.0008 0.008
52.96	-0.124 0.0008 0.008
52.99	-0.136 0.0008 0.008
53.02	-0.147 0.0008 0.008
53.06	-0.157 0.0008 0.008
53.09	-0.166 0.0008 0.008
53.12	-0.173 0.0008 0.008
53.16	-0.180 0.0008 0.008
53.19	-0.184 0.0008 0.008
53.22	-0.188 0.0008 0.008
53.26	-0.190 0.0008 0.008
53.29	-0.190 0.0008 0.008
53.32	-0.189 0.0008 0.008
53.36	-0.187 0.0008 0.008
53.39	-0.183 0.0008 0.008
53.42	-0.178 0.0008 0.008
53.46	-0.172 0.0008 0.008
53.49	-0.164 0.0008 0.008
53.52	-0.155 0.0008 0.008
53.56	-0.145 0.0008 0.008
53.59	-0.134 0.0008 0.008
53.62	-0.121 0.0008 0.008
53.66	-0.108 0.0008 0.008
53.69	-9.455E-2 0.0008 0.008
53.72	-8.002E-2 0.0008 0.008
53.76	-6.511E-2 0.0008 0.008
53.79	-4.912E-2 0.0008 0.008
53.82	-3.322E-2 0.0008 0.008
53.86	-1.707E-2 0.0008 0.008
53.89	-8.139E-4 0.0008 0.008
53.92	1.585E-2 0.0008 0.008
53.96	3.219E-2 0.0008 0.008
53.99	4.788E-2 0.0008 0.008
54.02	6.367E-2 0.0008 0.008
54.06	7.891E-2 0.0008 0.008
54.09	9.334E-2 0.0008 0.008
54.12	0.107 0.0008 0.008
54.16	0.120 0.0008 0.008
54.19	0.132 0.0008 0.008
54.22	0.143 0.0008 0.008
54.26	0.153 0.0008 0.008
54.29	0.162 0.0008 0.008
54.32	0.170 0.0008 0.008
54.36	0.176 0.0008 0.008
54.39	0.181 0.0008 0.008
54.42	0.185 0.0008 0.008
54.46	0.187 0.0008 0.008
54.49	0.188 0.0008 0.008
54.52	0.188 0.0008 0.008
54.56	0.186 0.0008 0.008
54.59	0.183 0.0008 0.008
54.62	0.178 0.0008 0.008
54.66	0.172 0.0008 0.008
54.69	0.165 0.0008 0.008
54.72	0.156 0.0008 0.008
54.76	0.147 0.0008 0.008
54.79	0.137 0.0008 0.008
54.82	0.125 0.0008 0.008
54.86	0.112 0.0008 0.008
54.89	9.879E-2 0.0008 0.008
54.92	8.429E-2 0.0008 0.008
54.96	6.904E-2 0.0008 0.008
54.99	5.391E-2 0.0008 0.008
55.02	3.785E-2 0.0008 0.008
55.06	2.211E-2 0.0008 0.008
55.09	6.136E-3 0.0008 0.008
55.12	-1.034E-2 0.0008 0.008
55.16	-2.643E-2 0.0008 0.008
55.19	-4.244E-2 0.0008 0.008
55.22	-5.784E-2 0.0008 0.008
55.26	-7.337E-2 0.0008 0.008
55.29	-8.842E-2 0.0008 0.008
55.32	-0.102 0.0008 0.008
55.36	-0.115 0.0008 0.008
55.39	-0.128 0.0008 0.008
55.42	-0.139 0.0008 0.008
55.46	-0.150 0.0008 0.008
55.49	-0.159 0.0008 0.008
55.52	-0.168 0.0008 0.008
55.56	-0.174 0.0008 0.008
55.59	-0.180 0.0008 0.008
55.62	-0.183 0.0008 0.008
55.66	-0.186 0.0008 0.008
55.69	-0.187 0.0008 0.008
55.72	-0.187 0.0008 0.008
55.76	-0.186 0.0008 0.008
55.79	-0.183 0.0008 0.008
55.82	-0.178 0.0008 0.008
55.86	-0.173 0.0008 0.008
55.89	-0.165 0.0008 0.008
55.92	-0.158 0.0008 0.008
55.96	-0.148 0.0008 0.008
55.99	-0.138 0.0008 0.008
56.02	-0.126 0.0008 0.008
56.06	-0.114 0.0008 0.008
56.09	-0.100 0.0008 0.008
56.12	-8.617E-2 0.0008 0.008
56.16	-7.186E-2 0.0008 0.008
56.19	-5.654E-2 0.0008 0.008
56.22	-4.092E-2 0.0008 0.008
56.26	-2.508E-2 0.0008 0.008
56.29	-8.795E-3 0.0008 0.008
56.32	6.980E-3 0.0008 0.008
56.36	2.287E-2 0.0008 0.008
56.39	3.864E-2 0.0008 0.008
56.42	5.461E-2 0.0008 0.008
56.46	6.993E-2 0.0008 0.008
56.49	8.430E-2 0.0008 0.008
56.52	9.817E-2 0.0008 0.008
56.56	0.111 0.0008 0.008
56.59	0.123 0.0008 0.008
56.62	0.134 0.0008 0.008
56.66	0.145 0.0008 0.008
56.69	0.154 0.0008 0.008
56.72	0.163 0.0008 0.008
56.76	0.170 0.0008 0.008
56.79	0.175 0.0008 0.008
56.82	0.179 0.0008 0.008
56.86	0.183 0.0008 0.008
56.89	0.184 0.0008 0.008
56.92	0.184 0.0008 0.008
56.96	0.183 0.0008 0.008
56.99	0.181 0.0008 0.008
57.02	0.177 0.0008 0.008
57.06	0.172 0.0008 0.008
57.09	0.166 0.0008 0.008
57.12	0.158 0.0008 0.008
57.16	0.149 0.0008 0.008
57.19	0.139 0.0008 0.008
57.22	0.128 0.0008 0.008
57.26	0.116 0.0008 0.008
57.29	0.104 0.0008 0.008
57.32	9.012E-2 0.0008 0.008
57.36	7.575E-2 0.0008 0.008
57.39	6.121E-2 0.0008 0.008
57.42	4.621E-2 0.0008 0.008
57.46	3.052E-2 0.0008 0.008
57.49	1.441E-2 0.0008 0.008
57.52	-1.256E-3 0.0008 0.008
57.56	-1.747E-2 0.0008 0.008
57.59	-3.300E-2 0.0008 0.008
57.62	-4.902E-2 0.0008 0.008
57.66	-6.419E-2 0.0008 0.008
57.69	-7.906E-2 0.0008 0.008
57.72	-9.301E-2 0.0008 0.008
57.76	-0.107 0.0008 0.008
57.79	-0.119 0.0008 0.008
57.82	-0.131 0.0008 0.008
57.86	-0.142 0.0008 0.008
57.89	-0.151 0.0008 0.008
57.92	-0.160 0.0008 0.008
57.96	-0.168 0.0008 0.008
57.99	-0.174 0.0008 0.008
58.02	-0.178 0.0008 0.008
58.06	-0.182 0.0008 0.008
58.09	-0.184 0.0008 0.008
58.12	-0.185 0.0008 0.008
58.16	-0.184 0.0008 0.008
58.19	-0.182 0.0008 0.008
58.22	-0.178 0.0008 0.008
58.26	-0.173 0.0008 0.008
58.29	-0.167 0.0008 0.008
58.32	-0.160 0.0008 0.008
58.36	-0.151 0.0008 0.008
58.39	-0.142 0.0008 0.008
58.42	-0.131 0.0008 0.008
58.46	-0.119 0.0008 0.008
58.49	-0.106 0.0008 0.008
58.52	-9.270E-2 0.0008 0.008
58.56	-7.840E-2 0.0008 0.008
58.59	-6.426E-2 0.0008 0.008
58.62	-4.889E-2 0.0008 0.008
58.66	-3.368E-2 0.0008 0.008
58.69	-1.804E-2 0.0008 0.008
58.72	-2.092E-3 0.0008 0.008
58.76	1.399E-2 0.0008 0.008
58.79	2.942E-2 0.0008 0.008
58.82	4.490E-2 0.0008 0.008
58.86	6.000E-2 0.0008 0.008
58.89	7.445E-2 0.0008 0.008
58.93	8.860E-2 0.0008 0.008
58.96	0.102 0.0008 0.008
58.99	0.115 0.0008 0.008
59.03	0.127 0.0008 0.008
59.06	0.138 0.0008 0.008
59.09	0.147 0.0008 0.008
59.13	0.156 0.0008 0.008
59.16	0.163 0.0008 0.008
59.19	0.170 0.0008 0.008
59.23	0.175 0.0008 0.008
59.26	0.179 0.0008 0.008
59.29	0.181 0.0008 0.008
59.33	0.182 0.0008 0.008
59.36	0.182 0.0008 0.008
59.39	0.180 0.0008 0.008
59.43	0.177 0.0008 0.008
59.46	0.173 0.0008 0.008
59.49	0.167 0.0008 0.008
59.53	0.160 0.0008 0.008
59.56	0.152 0.0008 0.008
59.59	0.143 0.0008 0.008
59.63	0.133 0.0008 0.008
59.66	0.122 0.0008 0.008
59.69	0.110 0.0008 0.008
59.73	9.703E-2 0.0008 0.008
59.76	8.332E-2 0.0008 0.008
59.79	6.923E-2 0.0008 0.008
59.83	5.391E-2 0.0008 0.008
59.86	3.853E-2 0.0008 0.008
59.89	2.295E-2 0.0008 0.008
59.93	7.167E-3 0.0008 0.008
59.96	-8.771E-3 0.0008 0.008
59.99	-2.452E-2 0.0008 0.008
60.03	-4.065E-2 0.0008 0.008
60.06	-5.567E-2 0.0008 0.008
60.09	-7.031E-2 0.0008 0.008
60.13	-8.457E-2 0.0008 0.008
60.16	-9.815E-2 0.0008 0.008
60.19	-0.111 0.0008 0.008
60.23	-0.123 0.0008 0.008
60.26	-0.134 0.0008 0.008
60.29	-0.144 0.0008 0.008
60.33	-0.153 0.0008 0.008
60.36	-0.161 0.0008 0.008
60.39	-0.168 0.0008 0.008
60.43	-0.173 0.0008 0.008
60.46	-0.177 0.0008 0.008
60.49	-0.180 0.0008 0.008
60.53	-0.182 0.0008 0.008
60.56	-0.182 0.0008 0.008
60.59	-0.180 0.0008 0.008
60.63	-0.177 0.0008 0.008
60.66	-0.173 0.0008 0.008
60.69	-0.168 0.0008 0.008
60.73	-0.161 0.0008 0.008
60.76	-0.154 0.0008 0.008
60.79	-0.145 0.0008 0.008
60.83	-0.134 0.0008 0.008
60.86	-0.123 0.0008 0.008
60.89	-0.111 0.0008 0.008
60.93	-9.871E-2 0.0008 0.008
60.96	-8.475E-2 0.0008 0.008
60.99	-7.049E-2 0.0008 0.008
61.03	-5.600E-2 0.0008 0.008
61.06	-4.086E-2 0.0008 0.008
61.09	-2.548E-2 0.0008 0.008
61.13	-1.041E-2 0.0008 0.008
61.16	5.258E-3 0.0008 0.008
61.19	2.083E-2 0.0008 0.008
61.23	3.626E-2 0.0008 0.008
61.26	5.165E-2 0.0008 0.008
61.29	6.603E-2 0.0008 0.008
61.33	8.037E-2 0.0008 0.008
61.36	9.407E-2 0.0008 0.008
61.39	0.107 0.0008 0.008
61.43	0.119 0.0008 0.008
61.46	0.131 0.0008 0.008
61.49	0.141 0.0008 0.008
61.53	0.150 0.0008 0.008
61.56	0.158 0.0008 0.008
61.59	0.164 0.0008 0.008
61.63	0.170 0.0008 0.008
61.66	0.175 0.0008 0.008
61.69	0.178 0.0008 0.008
61.73	0.180 0.0008 0.008
61.76	0.180 0.0008 0.008
61.79	0.180 0.0008 0.008
61.83	0.177 0.0008 0.008
61.86	0.174 0.0008 0.008
61.89	0.169 0.0008 0.008
61.93	0.163 0.0008 0.008
61.96	0.155 0.0008 0.008
61.99	0.147 0.0008 0.008
62.03	0.137 0.0008 0.008
62.06	0.126 0.0008 0.008
62.09	0.115 0.0008 0.008
62.13	0.102 0.0008 0.008
62.16	8.947E-2 0.0008 0.008
62.19	7.571E-2 0.0008 0.008
62.23	6.154E-2 0.0008 0.008
62.26	4.638E-2 0.0008 0.008
62.29	3.106E-2 0.0008 0.008
62.33	1.527E-2 0.0008 0.008
62.36	7.715E-5 0.0008 0.008
62.39	-1.519E-2 0.0008 0.008
62.43	-3.018E-2 0.0008 0.008
62.46	-4.548E-2 0.0008 0.008
62.49	-6.019E-2 0.0008 0.008
62.53	-7.507E-2 0.0008 0.008
62.56	-8.875E-2 0.0008 0.008
62.59	-0.101 0.0008 0.008
62.63	-0.114 0.0008 0.008
62.66	-0.125 0.0008 0.008
62.69	-0.136 0.0008 0.008
62.73	-0.145 0.0008 0.008
62.76	-0.154 0.0008 0.008
62.79	-0.161 0.0008 0.008
62.83	-0.167 0.0008 0.008
62.86	-0.172 0.0008 0.008
62.89	-0.176 0.0008 0.008
62.93	-0.178 0.0008 0.008
62.96	-0.179 0.0008 0.008
62.99	-0.178 0.0008 0.008
63.03	-0.176 0.0008 0.008
63.06	-0.173 0.0008 0.008
63.09	-0.168 0.0008 0.008
63.13	-0.163 0.0008 0.008
63.16	-0.156 0.0008 0.008
63.19	-0.147 0.0008 0.008
63.23	-0.138 0.0008 0.008
63.26	-0.128 0.0008 0.008
63.29	-0.117 0.0008 0.008
63.33	-0.105 0.0008 0.008
63.36	-9.177E-2 0.0008 0.008
63.39	-7.760E-2 0.0008 0.008
63.43	-6.336E-2 0.0008 0.008
63.46	-4.889E-2 0.0008 0.008
63.49	-3.416E-2 0.0008 0.008
63.53	-1.876E-2 0.0008 0.008
63.56	-3.707E-3 0.0008 0.008
63.59	1.169E-2 0.0008 0.008
63.63	2.658E-2 0.0008 0.008
63.66	4.239E-2 0.0008 0.008
63.69	5.686E-2 0.0008 0.008
63.73	7.119E-2 0.0008 0.008
63.76	8.494E-2 0.0008 0.008
63.79	9.801E-2 0.0008 0.008
63.83	0.110 0.0008 0.008
63.86	0.122 0.0008 0.008
63.89	0.132 0.0008 0.008
63.93	0.142 0.0008 0.008
63.96	0.150 0.0008 0.008
63.99	0.158 0.0008 0.008
64.03	0.164 0.0008 0.008
64.06	0.169 0.0008 0.008
64.09	0.173 0.0008 0.008
64.13	0.175 0.0008 0.008
64.16	0.176 0.0008 0.008
64.19	0.176 0.0008 0.008
64.23	0.175 0.0008 0.008
64.26	0.172 0.0008 0.008
64.29	0.168 0.0008 0.008
64.33	0.163 0.0008 0.008
64.36	0.156 0.0008 0.008
64.39	0.148 0.0008 0.008
64.43	0.140 0.0008 0.008
64.46	0.130 0.0008 0.008
64.49	0.119 0.0008 0.008
64.53	0.107 0.0008 0.008
64.56	9.476E-2 0.0008 0.008
64.59	8.124E-2 0.0008 0.008
64.63	6.742E-2 0.0008 0.008
64.66	5.310E-2 0.0008 0.008
64.69	3.858E-2 0.0008 0.008
64.73	2.369E-2 0.0008 0.008
64.76	8.301E-3 0.0008 0.008
64.79	-6.695E-3 0.0008 0.008
64.83	-2.183E-2 0.0008 0.008
64.86	-3.714E-2 0.0008 0.008
64.89	-5.212E-2 0.0008 0.008
64.93	-6.650E-2 0.0008 0.008
64.96	-8.084E-2 0.0008 0.008
64.99	-9.393E-2 0.0008 0.008
65.03	-0.106 0.0008 0.008
65.06	-0.118 0.0008 0.008
65.09	-0.129 0.0008 0.008
65.13	-0.139 0.0008 0.008
65.16	-0.149 0.0008 0.008
65.19	-0.156 0.0008 0.008
65.23	-0.163 0.0008 0.008
65.26	-0.168 0.0008 0.008
65.29	-0.171 0.0008 0.008
65.33	-0.175 0.0008 0.008
65.36	-0.176 0.0008 0.008
65.39	-0.176 0.0008 0.008
65.43	-0.175 0.0008 0.008
65.46	-0.173 0.0008 0.008
65.49	-0.168 0.0008 0.008
65.53	-0.164 0.0008 0.008
65.56	-0.157 0.0008 0.008
65.59	-0.150 0.0008 0.008
65.63	-0.141 0.0008 0.008
65.66	-0.131 0.0008 0.008
65.69	-0.121 0.0008 0.008
65.73	-0.109 0.0008 0.008
65.76	-9.697E-2 0.0008 0.008
65.79	-8.412E-2 0.0008 0.008
65.83	-7.019E-2 0.0008 0.008
65.86	-5.607E-2 0.0008 0.008
65.89	-4.147E-2 0.0008 0.008
65.93	-2.668E-2 0.0008 0.008
65.96	-1.124E-2 0.0008 0.008
65.99	4.094E-3 0.0008 0.008
66.03	1.906E-2 0.0008 0.008
66.06	3.412E-2 0.0008 0.008
66.09	4.868E-2 0.0008 0.008
66.13	6.305E-2 0.0008 0.008
66.16	7.672E-2 0.0008 0.008
66.19	9.012E-2 0.0008 0.008
66.23	0.103 0.0008 0.008
66.26	0.115 0.0008 0.008
66.29	0.125 0.0008 0.008
66.33	0.135 0.0008 0.008
66.36	0.144 0.0008 0.008
66.39	0.152 0.0008 0.008
66.43	0.159 0.0008 0.008
66.46	0.164 0.0008 0.008
66.49	0.169 0.0008 0.008
66.53	0.172 0.0008 0.008
66.56	0.174 0.0008 0.008
66.59	0.174 0.0008 0.008
66.63	0.173 0.0008 0.008
66.66	0.171 0.0008 0.008
66.69	0.168 0.0008 0.008
66.73	0.163 0.0008 0.008
66.76	0.157 0.0008 0.008
66.80	0.150 0.0008 0.008
66.83	0.143 0.0008 0.008
66.86	0.133 0.0008 0.008
66.90	0.124 0.0008 0.008
66.93	0.112 0.0008 0.008
66.96	0.100 0.0008 0.008
67.00	8.727E-2 0.0008 0.008
67.03	7.401E-2 0.0008 0.008
67.06	5.993E-2 0.0008 0.008
67.10	4.546E-2 0.0008 0.008
67.13	3.088E-2 0.0008 0.008
67.16	1.601E-2 0.0008 0.008
67.19	8.045E-4 0.0008 0.008
67.23	-1.433E-2 0.0008 0.008
67.26	-2.937E-2 0.0008 0.008
67.30	-4.360E-2 0.0008 0.008
67.33	-5.821E-2 0.0008 0.008
67.36	-7.193E-2 0.0008 0.008
67.40	-8.552E-2 0.0008 0.008
67.43	-9.818E-2 0.0008 0.008
67.46	-0.110 0.0008 0.008
67.50	-0.122 0.0008 0.008
67.53	-0.132 0.0008 0.008
67.56	-0.141 0.0008 0.008
67.60	-0.149 0.0008 0.008
67.63	-0.156 0.0008 0.008
67.66	-0.162 0.0008 0.008
67.69	-0.167 0.0008 0.008
67.73	-0.171 0.0008 0.008
67.76	-0.173 0.0008 0.008
67.80	-0.174 0.0008 0.008
67.83	-0.173 0.0008 0.008
67.86	-0.171 0.0008 0.008
67.90	-0.168 0.0008 0.008
67.93	-0.164 0.0008 0.008
67.96	-0.158 0.0008 0.008
68.00	-0.151 0.0008 0.008
68.03	-0.144 0.0008 0.008
68.06	-0.134 0.0008 0.008
68.10	-0.124 0.0008 0.008
68.13	-0.114 0.0008 0.008
68.16	-0.102 0.0008 0.008
68.19	-8.922E-2 0.0008 0.008
68.23	-7.639E-2 0.0008 0.008
68.26	-6.261E-2 0.0008 0.008
68.30	-4.847E-2 0.0008 0.008
68.33	-3.385E-2 0.0008 0.008
68.36	-1.903E-2 0.0008 0.008
68.40	-3.933E-3 0.0008 0.008
68.43	1.071E-2 0.0008 0.008
68.46	2.581E-2 0.0008 0.008
68.50	4.088E-2 0.0008 0.008
68.53	5.528E-2 0.0008 0.008
68.56	6.900E-2 0.0008 0.008
68.60	8.273E-2 0.0008 0.008
68.63	9.545E-2 0.0008 0.008
68.66	0.108 0.0008 0.008
68.69	0.119 0.0008 0.008
68.73	0.129 0.0008 0.008
68.76	0.138 0.0008 0.008
68.80	0.146 0.0008 0.008
68.83	0.154 0.0008 0.008
68.86	0.160 0.0008 0.008
68.90	0.164 0.0008 0.008
68.93	0.168 0.0008 0.008
68.96	0.170 0.0008 0.008
69.00	0.172 0.0008 0.008
69.03	0.172 0.0008 0.008
69.06	0.170 0.0008 0.008
69.10	0.168 0.0008 0.008
69.13	0.164 0.0008 0.008
69.16	0.159 0.0008 0.008
69.19	0.153 0.0008 0.008
69.23	0.146 0.0008 0.008
69.26	0.137 0.0008 0.008
69.30	0.128 0.0008 0.008
69.33	0.118 0.0008 0.008
69.36	0.106 0.0008 0.008
69.40	9.402E-2 0.0008 0.008
69.43	8.132E-2 0.0008 0.008
69.46	6.769E-2 0.0008 0.008
69.50	5.366E-2 0.0008 0.008
69.53	3.930E-2 0.0008 0.008
69.56	2.486E-2 0.0008 0.008
69.60	1.019E-2 0.0008 0.008
69.63	-5.086E-3 0.0008 0.008
69.66	-2.026E-2 0.0008 0.008
69.69	-3.479E-2 0.0008 0.008
69.73	-4.910E-2 0.0008 0.008
69.76	-6.279E-2 0.0008 0.008
69.80	-7.665E-2 0.0008 0.008
69.83	-8.917E-2 0.0008 0.008
69.86	-0.102 0.0008 0.008
69.90	-0.113 0.0008 0.008
69.93	-0.124 0.0008 0.008
69.96	-0.134 0.0008 0.008
70.00	-0.142 0.0008 0.008
70.03	-0.149 0.0008 0.008
70.06	-0.156 0.0008 0.008
70.10	-0.162 0.0008 0.008
70.13	-0.166 0.0008 0.008
70.16	-0.169 0.0008 0.008
70.19	-0.170 0.0008 0.008
70.23	-0.171 0.0008 0.008
70.26	-0.169 0.0008 0.008
70.30	-0.167 0.0008 0.008
70.33	-0.164 0.0008 0.008
70.36	-0.159 0.0008 0.008
70.40	-0.153 0.0008 0.008
70.43	-0.146 0.0008 0.008
70.46	-0.137 0.0008 0.008
70.50	-0.128 0.0008 0.008
70.53	-0.118 0.0008 0.008
70.56	-0.107 0.0008 0.008
70.60	-9.497E-2 0.0008 0.008
70.63	-8.195E-2 0.0008 0.008
70.66	-6.880E-2 0.0008 0.008
70.69	-5.501E-2 0.0008 0.008
70.73	-4.157E-2 0.0008 0.008
70.76	-2.692E-2 0.0008 0.008
70.80	-1.233E-2 0.0008 0.008
70.83	2.337E-3 0.0008 0.008
70.86	1.743E-2 0.0008 0.008
70.90	3.205E-2 0.0008 0.008
70.93	4.626E-2 0.0008 0.008
70.96	6.003E-2 0.0008 0.008
71.00	7.348E-2 0.0008 0.008
71.03	8.649E-2 0.0008 0.008
71.06	9.870E-2 0.0008 0.008
71.10	0.110 0.0008 0.008
71.13	0.121 0.0008 0.008
71.16	0.131 0.0008 0.008
71.20	0.139 0.0008 0.008
71.23	0.147 0.0008 0.008
71.26	0.154 0.0008 0.008
71.30	0.159 0.0008 0.008
71.33	0.164 0.0008 0.008
71.36	0.167 0.0008 0.008
71.40	0.169 0.0008 0.008
71.43	0.169 0.0008 0.008
71.46	0.169 0.0008 0.008
71.50	0.167 0.0008 0.008
71.53	0.164 0.0008 0.008
71.56	0.160 0.0008 0.008
71.60	0.154 0.0008 0.008
71.63	0.147 0.0008 0.008
71.66	0.140 0.0008 0.008
71.70	0.131 0.0008 0.008
71.73	0.121 0.0008 0.008
71.76	0.111 0.0008 0.008
71.80	9.932E-2 0.0008 0.008
71.83	8.723E-2 0.0008 0.008
71.86	7.426E-2 0.0008 0.008
71.90	6.073E-2 0.0008 0.008
71.93	4.700E-2 0.0008 0.008
71.96	3.251E-2 0.0008 0.008
72.00	1.815E-2 0.0008 0.008
72.03	3.653E-3 0.0008 0.008
72.06	-1.104E-2 0.0008 0.008
72.10	-2.567E-2 0.0008 0.008
72.13	-4.010E-2 0.0008 0.008
72.16	-5.420E-2 0.0008 0.008
72.20	-6.816E-2 0.0008 0.008
72.23	-8.096E-2 0.0008 0.008
72.26	-9.382E-2 0.0008 0.008
72.30	-0.105 0.0008 0.008
72.33	-0.117 0.0008 0.008
72.36	-0.127 0.0008 0.008
72.40	-0.136 0.0008 0.008
72.43	-0.144 0.0008 0.008
72.46	-0.151 0.0008 0.008
72.50	-0.157 0.0008 0.008
72.53	-0.162 0.0008 0.008
72.56	-0.165 0.0008 0.008
72.60	-0.168 0.0008 0.008
72.63	-0.169 0.0008 0.008
72.66	-0.168 0.0008 0.008
72.70	-0.167 0.0008 0.008
72.73	-0.164 0.0008 0.008
72.76	-0.160 0.0008 0.008
72.80	-0.155 0.0008 0.008
72.83	-0.148 0.0008 0.008
72.86	-0.140 0.0008 0.008
72.90	-0.132 0.0008 0.008
72.93	-0.122 0.0008 0.008
72.96	-0.112 0.0008 0.008
73.00	-0.101 0.0008 0.008
73.03	-8.871E-2 0.0008 0.008
73.06	-7.544E-2 0.0008 0.008
73.10	-6.210E-2 0.0008 0.008
73.13	-4.835E-2 0.0008 0.008
73.16	-3.434E-2 0.0008 0.008
73.20	-1.953E-2 0.0008 0.008
73.23	-5.241E-3 0.0008 0.008
73.26	9.440E-3 0.0008 0.008
73.30	2.368E-2 0.0008 0.008
73.33	3.779E-2 0.0008 0.008
73.36	5.178E-2 0.0008 0.008
73.40	6.529E-2 0.0008 0.008
73.43	7.834E-2 0.0008 0.008
73.46	9.031E-2 0.0008 0.008
73.50	0.102 0.0008 0.008
73.53	0.114 0.0008 0.008
73.56	0.124 0.0008 0.008
73.60	0.133 0.0008 0.008
73.63	0.141 0.0008 0.008
73.66	0.148 0.0008 0.008
73.70	0.154 0.0008 0.008
73.73	0.159 0.0008 0.008
73.76	0.163 0.0008 0.008
73.80	0.166 0.0008 0.008
73.83	0.167 0.0008 0.008
73.86	0.167 0.0008 0.008
73.90	0.166 0.0008 0.008
73.93	0.164 0.0008 0.008
73.96	0.160 0.0008 0.008
74.00	0.156 0.0008 0.008
74.03	0.150 0.0008 0.008
74.06	0.143 0.0008 0.008
74.10	0.134 0.0008 0.008
74.13	0.125 0.0008 0.008
74.16	0.115 0.0008 0.008
74.20	0.104 0.0008 0.008
74.23	9.260E-2 0.0008 0.008
74.26	7.968E-2 0.0008 0.008
74.30	6.664E-2 0.0008 0.008
74.33	5.306E-2 0.0008 0.008
74.36	3.927E-2 0.0008 0.008
74.40	2.500E-2 0.0008 0.008
74.43	1.074E-2 0.0008 0.008
74.46	-3.888E-3 0.0008 0.008
74.50	-1.792E-2 0.0008 0.008
74.53	-3.228E-2 0.0008 0.008
74.56	-4.606E-2 0.0008 0.008
74.60	-5.972E-2 0.0008 0.008
74.63	-7.320E-2 0.0008 0.008
74.66	-8.614E-2 0.0008 0.008
74.70	-9.844E-2 0.0008 0.008
74.73	-0.110 0.0008 0.008
74.77	-0.121 0.0008 0.008
74.80	-0.130 0.0008 0.008
74.83	-0.138 0.0008 0.008
74.86	-0.146 0.0008 0.008
74.90	-0.152 0.0008 0.008
74.93	-0.157 0.0008 0.008
74.97	-0.161 0.0008 0.008
75.00	-0.164 0.0008 0.008
75.03	-0.166 0.0008 0.008
75.07	-0.166 0.0008 0.008
75.10	-0.165 0.0008 0.008
75.13	-0.163 0.0008 0.008
75.17	-0.159 0.0008 0.008
75.20	-0.155 0.0008 0.008
75.23	-0.149 0.0008 0.008
75.27	-0.142 0.0008 0.008
75.30	-0.134 0.0008 0.008
75.33	-0.125 0.0008 0.008
75.36	-0.115 0.0008 0.008
75.40	-0.105 0.0008 0.008
75.43	-9.337E-2 0.0008 0.008
75.47	-8.102E-2 0.0008 0.008
75.50	-6.807E-2 0.0008 0.008
75.53	-5.460E-2 0.0008 0.008
75.57	-4.081E-2 0.0008 0.008
75.60	-2.644E-2 0.0008 0.008
75.63	-1.206E-2 0.0008 0.008
