t_{1}	func 0.0008 0.008
14.171666666666667	-0.24758925361763096 0.0008 0.008
14.205000000000002	-0.2608278982470462 0.0008 0.008
14.238333333333333	-0.2689250232064433 0.0008 0.008
14.271666666666667	-0.2740940251383726 0.0008 0.008
14.304999999999998	-0.27535248740624974 0.0008 0.008
14.338333333333335	-0.2717403890390074 0.0008 0.008
14.371666666666666	-0.26247808089650215 0.0008 0.008
14.405000000000001	-0.250465699403807 0.0008 0.008
14.43833333333333	-0.23334370396631346 0.0008 0.008
14.471666666666666	-0.2132203072490964 0.0008 0.008
14.504999999999999	-0.1907856635866078 0.0008 0.008
14.538333333333334	-0.16363621389938138 0.0008 0.008
14.571666666666669	-0.13624887174467717 0.0008 0.008
14.604999999999999	-0.10647568588976139 0.0008 0.008
14.638333333333334	-0.07444294454562622 0.0008 0.008
14.671666666666667	-0.041449651136824896 0.0008 0.008
14.705000000000002	-0.008456161072783991 0.0008 0.008
14.738333333333333	0.023699926043870174 0.0008 0.008
14.771666666666667	0.05478659340053319 0.0008 0.008
14.80666666666667	0.08466344020378681 0.0008 0.008
14.839999999999998	0.11208165695761842 0.0008 0.008
14.873333333333333	0.1376791904155742 0.0008 0.008
14.906666666666666	0.15953939295969108 0.0008 0.008
14.940000000000001	0.1788287126046543 0.0008 0.008
14.973333333333334	0.1938181522868857 0.0008 0.008
15.006666666666666	0.20699036690095085 0.0008 0.008
15.039999999999997	0.21424161185916374 0.0008 0.008
15.073333333333334	0.2181712469394853 0.0008 0.008
15.106666666666666	0.2180354922055294 0.0008 0.008
15.140000000000002	0.2142183816096083 0.0008 0.008
15.173333333333334	0.20557383739146723 0.0008 0.008
15.206666666666665	0.1928480381054889 0.0008 0.008
15.240000000000002	0.17641796737460141 0.0008 0.008
15.273333333333333	0.15627928953271186 0.0008 0.008
15.30666666666667	0.1339950608177372 0.0008 0.008
15.339999999999998	0.10749443182902986 0.0008 0.008
15.373333333333333	0.08033690435176825 0.0008 0.008
15.406666666666666	0.0488322794911821 0.0008 0.008
15.440000000000001	0.018426685982805613 0.0008 0.008
15.473333333333334	-0.013643383940615024 0.0008 0.008
15.506666666666666	-0.04637311803309982 0.0008 0.008
15.539999999999997	-0.07966880773355928 0.0008 0.008
15.573333333333334	-0.1102364004112414 0.0008 0.008
15.606666666666666	-0.1422475719358072 0.0008 0.008
15.640000000000002	-0.16857934464138663 0.0008 0.008
15.673333333333334	-0.19375076931931604 0.0008 0.008
15.706666666666665	-0.21598705967633947 0.0008 0.008
