t	func 0.0008 0.008
5.968333333333334	-0.14745537600053743 0.0008 0.008
6.00166666666667	-0.11092931523405508 0.0008 0.008
6.035000000000002	-0.07167049204121624 0.0008 0.008
6.068333333333334	-0.031315864296690026 0.0008 0.008
6.101666666666666	0.007247718330294661 0.0008 0.008
6.135000000000002	0.045482193997463984 0.0008 0.008
6.168333333333334	0.08120525706366538 0.0008 0.008
6.20166666666667	0.11688738451908315 0.0008 0.008
6.2349999999999985	0.1471488560229546 0.0008 0.008
6.2683333333333335	0.17377263022181946 0.0008 0.008
6.301666666666666	0.1965457512401748 0.0008 0.008
6.335000000000002	0.21551250704076566 0.0008 0.008
6.368333333333334	0.22760625462234801 0.0008 0.008
6.401666666666666	0.23373568451767832 0.0008 0.008
6.434999999999998	0.2362313557528101 0.0008 0.008
6.468333333333334	0.2318043194740443 0.0008 0.008
6.50166666666667	0.22272948523484687 0.0008 0.008
6.535000000000002	0.20628581693837053 0.0008 0.008
6.568333333333334	0.1853821013074133 0.0008 0.008
6.601666666666666	0.160126906650088 0.0008 0.008
6.635000000000002	0.1313091969891821 0.0008 0.008
6.668333333333334	0.09726614197720876 0.0008 0.008
6.70166666666667	0.06142231047411399 0.0008 0.008
6.7349999999999985	0.024387509317392662 0.0008 0.008
6.769999999999998	-0.013680997131157438 0.0008 0.008
6.803333333333334	-0.05342181909742941 0.0008 0.008
6.836666666666666	-0.09219406837144503 0.0008 0.008
6.870000000000002	-0.13054373576105086 0.0008 0.008
6.903333333333334	-0.1652328493083956 0.0008 0.008
6.936666666666666	-0.1959782272290082 0.0008 0.008
6.969999999999998	-0.2273948591915772 0.0008 0.008
7.003333333333334	-0.2520890161326269 0.0008 0.008
7.03666666666667	-0.27225938095898367 0.0008 0.008
7.070000000000002	-0.2875617323890621 0.0008 0.008
7.1033333333333335	-0.29676960942812824 0.0008 0.008
7.136666666666666	-0.29893676816301584 0.0008 0.008
7.170000000000002	-0.29579972339005056 0.0008 0.008
7.203333333333334	-0.28880154782738904 0.0008 0.008
7.23666666666667	-0.2742708607610997 0.0008 0.008
7.269999999999998	-0.2563785432169754 0.0008 0.008
7.303333333333334	-0.23434950013550787 0.0008 0.008
7.336666666666666	-0.20672078492783266 0.0008 0.008
7.370000000000002	-0.17519600383459125 0.0008 0.008
7.403333333333334	-0.14234873964875347 0.0008 0.008
7.436666666666666	-0.10500999890832156 0.0008 0.008
7.469999999999998	-0.06736246627798181 0.0008 0.008
7.503333333333334	-0.028535201404339246 0.0008 0.008
7.53666666666667	0.01129040722979179 0.0008 0.008
7.570000000000002	0.04816674358183952 0.0008 0.008
7.6033333333333335	0.08349926903830066 0.0008 0.008
7.636666666666666	0.1177455017157993 0.0008 0.008
7.670000000000002	0.1469374517848274 0.0008 0.008
7.703333333333334	0.17391626374011182 0.0008 0.008
7.73666666666667	0.1951199554367669 0.0008 0.008
7.769999999999998	0.2109460921794806 0.0008 0.008
7.803333333333334	0.22207393065647732 0.0008 0.008
7.836666666666666	0.22898211115157183 0.0008 0.008
7.870000000000002	0.2292363149716147 0.0008 0.008
7.903333333333334	0.2243206353557451 0.0008 0.008
7.936666666666666	0.21505769948444517 0.0008 0.008
7.969999999999998	0.19935690408653545 0.0008 0.008
8.003333333333334	0.17808738207366748 0.0008 0.008
8.036666666666669	0.1531750399326308 0.0008 0.008
8.070000000000002	0.1238099525804547 0.0008 0.008
8.103333333333333	0.0903871040772274 0.0008 0.008
8.136666666666667	0.05466714311157714 0.0008 0.008
8.170000000000002	0.016076227800662476 0.0008 0.008
8.203333333333333	-0.022768819764136278 0.0008 0.008
8.23666666666667	-0.06092562246549289 0.0008 0.008
8.269999999999998	-0.0989964431839848 0.0008 0.008
8.303333333333335	-0.13701616989231993 0.0008 0.008
8.336666666666666	-0.17099417387887483 0.0008 0.008
8.370000000000001	-0.20324994307700442 0.0008 0.008
8.403333333333334	-0.23065081550795682 0.0008 0.008
8.436666666666666	-0.25424345324363673 0.0008 0.008
8.469999999999999	-0.2732430528682468 0.0008 0.008
8.503333333333334	-0.28722094475220616 0.0008 0.008
8.536666666666669	-0.2970568793207685 0.0008 0.008
8.570000000000002	-0.3005919751387093 0.0008 0.008
8.603333333333333	-0.2982868269475648 0.0008 0.008
8.636666666666667	-0.29036093093353776 0.0008 0.008
8.670000000000002	-0.2767308156981307 0.0008 0.008
8.703333333333333	-0.25671701148995724 0.0008 0.008
8.73666666666667	-0.23274769499363415 0.0008 0.008
8.769999999999998	-0.20522723439861132 0.0008 0.008
8.803333333333335	-0.17225268853135167 0.0008 0.008
8.836666666666666	-0.13795191969910864 0.0008 0.008
8.870000000000001	-0.10058385613448811 0.0008 0.008
8.903333333333334	-0.0624754323646186 0.0008 0.008
8.936666666666666	-0.024238118049846588 0.0008 0.008
8.969999999999999	0.014106463079842322 0.0008 0.008
9.003333333333334	0.051378509109383644 0.0008 0.008
9.036666666666669	0.08745526480494058 0.0008 0.008
9.070000000000002	0.11958694309602275 0.0008 0.008
9.103333333333333	0.1492311617821456 0.0008 0.008
9.136666666666667	0.17446554417117846 0.0008 0.008
9.170000000000002	0.19525074909680587 0.0008 0.008
9.203333333333333	0.21081878111372096 0.0008 0.008
9.23666666666667	0.2223518534911204 0.0008 0.008
9.269999999999998	0.22720477406342135 0.0008 0.008
9.303333333333335	0.2269287039348295 0.0008 0.008
9.336666666666666	0.22247151798380432 0.0008 0.008
9.370000000000001	0.21128643168025824 0.0008 0.008
9.403333333333334	0.19480338024176497 0.0008 0.008
9.436666666666666	0.17433096103704332 0.0008 0.008
9.470000000000002	0.14953814714142782 0.0008 0.008
9.503333333333334	0.11995998747021105 0.0008 0.008
9.536666666666669	0.08581835146313746 0.0008 0.008
9.570000000000002	0.04992643694643811 0.0008 0.008
9.603333333333333	0.013283708368212313 0.0008 0.008
9.636666666666667	-0.02435603574482395 0.0008 0.008
9.670000000000002	-0.06260496378235546 0.0008 0.008
9.703333333333333	-0.10073020600063337 0.0008 0.008
9.73666666666667	-0.13740702697277313 0.0008 0.008
9.769999999999998	-0.17398124053146471 0.0008 0.008
9.803333333333335	-0.2052502567446118 0.0008 0.008
9.836666666666666	-0.23130043949514684 0.0008 0.008
9.870000000000001	-0.2550921754053662 0.0008 0.008
9.903333333333334	-0.27391400938394345 0.0008 0.008
9.936666666666666	-0.2881551766513956 0.0008 0.008
9.970000000000002	-0.2963149747775271 0.0008 0.008
10.003333333333334	-0.29998041970352873 0.0008 0.008
10.036666666666669	-0.2955944253309694 0.0008 0.008
