t_{1}	amp 0.0008 0.008
5.169999999999996	0.0093737085567355 0.0008 0.008
5.203333333333332	0.03380589102028493 0.0008 0.008
5.236666666666665	0.056934592370614295 0.0008 0.008
5.269999999999996	0.0803925417353752 0.0008 0.008
5.303333333333332	0.10283817880568592 0.0008 0.008
5.336666666666664	0.12389050993451031 0.0008 0.008
5.37	0.14393823230035 0.0008 0.008
5.403333333333332	0.16302436324084277 0.0008 0.008
5.436666666666664	0.18056362679244026 0.0008 0.008
5.469999999999996	0.19667538715102878 0.0008 0.008
5.503333333333332	0.21084710276582735 0.0008 0.008
5.536666666666664	0.2229766682959743 0.0008 0.008
5.57	0.23303011491602488 0.0008 0.008
5.603333333333328	0.24177778481767218 0.0008 0.008
5.636666666666664	0.24809182572009245 0.0008 0.008
5.669999999999996	0.2525483427110819 0.0008 0.008
5.703333333333332	0.25431461176185577 0.0008 0.008
5.736666666666665	0.25439780568317777 0.0008 0.008
5.769999999999996	0.2519634539275596 0.0008 0.008
5.803333333333332	0.24714511304113534 0.0008 0.008
5.836666666666664	0.24096241164042712 0.0008 0.008
5.87	0.23220979415153503 0.0008 0.008
5.903333333333332	0.2213934839057774 0.0008 0.008
5.936666666666664	0.20892301838214558 0.0008 0.008
5.969999999999996	0.19492375086927807 0.0008 0.008
6.003333333333332	0.179163566985421 0.0008 0.008
6.036666666666664	0.1614209862716302 0.0008 0.008
6.07	0.14214688309823426 0.0008 0.008
6.103333333333328	0.12191006594912746 0.0008 0.008
6.136666666666664	0.10034504793517503 0.0008 0.008
6.169999999999996	0.0787543445065836 0.0008 0.008
6.203333333333332	0.0552416066001755 0.0008 0.008
6.236666666666665	0.03105921579598726 0.0008 0.008
6.269999999999996	0.006994510769743199 0.0008 0.008
6.303333333333332	-0.017032474866878453 0.0008 0.008
6.336666666666664	-0.0422218972725769 0.0008 0.008
6.37	-0.06654005611522712 0.0008 0.008
6.403333333333332	-0.0906763679789092 0.0008 0.008
6.436666666666664	-0.11305014645312564 0.0008 0.008
6.469999999999996	-0.13465804503076856 0.0008 0.008
6.503333333333332	-0.1552887627879076 0.0008 0.008
6.536666666666664	-0.17559109322477484 0.0008 0.008
6.57	-0.194000325210588 0.0008 0.008
6.603333333333328	-0.210832217657703 0.0008 0.008
6.636666666666664	-0.22659694579225034 0.0008 0.008
6.669999999999996	-0.23920670687704504 0.0008 0.008
6.703333333333332	-0.250193929199534 0.0008 0.008
6.736666666666665	-0.25933593777871994 0.0008 0.008
6.769999999999996	-0.26676567102892523 0.0008 0.008
6.803333333333332	-0.27165798996862456 0.0008 0.008
6.836666666666664	-0.2743820619518476 0.0008 0.008
6.87	-0.27480658899992516 0.0008 0.008
6.903333333333332	-0.27273252944028026 0.0008 0.008
6.936666666666664	-0.26836265494760214 0.0008 0.008
6.969999999999996	-0.2618065993933855 0.0008 0.008
7.003333333333332	-0.253225588543815 0.0008 0.008
7.036666666666664	-0.2425390039618642 0.0008 0.008
7.07	-0.2297727938641685 0.0008 0.008
7.103333333333328	-0.21534351801705437 0.0008 0.008
7.136666666666664	-0.19919459873327602 0.0008 0.008
7.169999999999996	-0.1814222705191663 0.0008 0.008
7.203333333333332	-0.1625212876081887 0.0008 0.008
7.236666666666665	-0.14180039792300828 0.0008 0.008
7.269999999999996	-0.1197954089132221 0.0008 0.008
7.303333333333332	-0.0985794990460001 0.0008 0.008
7.336666666666664	-0.07504410225168734 0.0008 0.008
7.37	-0.05165073484496351 0.0008 0.008
7.403333333333332	-0.026961841511706268 0.0008 0.008
7.436666666666664	-0.002404073740887522 0.0008 0.008
7.469999999999996	0.021829383849481257 0.0008 0.008
7.503333333333332	0.04585259282099559 0.0008 0.008
7.536666666666664	0.06844491358163973 0.0008 0.008
7.57	0.09076360714111552 0.0008 0.008
7.603333333333328	0.11167477430898082 0.0008 0.008
7.636666666666664	0.13266258580874937 0.0008 0.008
7.669999999999996	0.15160464243529315 0.0008 0.008
7.703333333333332	0.1691816376671954 0.0008 0.008
7.736666666666665	0.18505714402152287 0.0008 0.008
7.769999999999996	0.20005584078248004 0.0008 0.008
7.803333333333332	0.2132731362738125 0.0008 0.008
7.836666666666664	0.22394991938860517 0.0008 0.008
7.87	0.23301802261605642 0.0008 0.008
7.903333333333332	0.23999743396290946 0.0008 0.008
7.936666666666664	0.2452839805050449 0.0008 0.008
7.969999999999996	0.24807136280057213 0.0008 0.008
8.003333333333332	0.24893587848731927 0.0008 0.008
8.036666666666664	0.24799035845886688 0.0008 0.008
8.07	0.24459710642842755 0.0008 0.008
8.103333333333328	0.23934786518110257 0.0008 0.008
8.136666666666665	0.23200951044204063 0.0008 0.008
8.169999999999996	0.22245724222119193 0.0008 0.008
8.203333333333331	0.21091248920797373 0.0008 0.008
8.236666666666665	0.19750696092362813 0.0008 0.008
8.269999999999996	0.18252701512214542 0.0008 0.008
8.303333333333333	0.1657263078517185 0.0008 0.008
8.336666666666664	0.14732136914331814 0.0008 0.008
8.37	0.12829781144686778 0.0008 0.008
8.403333333333332	0.1075516806387511 0.0008 0.008
8.436666666666664	0.08567163586405559 0.0008 0.008
8.469999999999997	0.06316682672251618 0.0008 0.008
8.503333333333332	0.04001851157381216 0.0008 0.008
8.538333333333332	0.015534274957951729 0.0008 0.008
8.571666666666664	-0.007677009859276562 0.0008 0.008
8.605	-0.03166222310618839 0.0008 0.008
8.638333333333328	-0.055959165165174 0.0008 0.008
8.671666666666665	-0.0791301638034165 0.0008 0.008
8.704999999999997	-0.10276686224325847 0.0008 0.008
8.738333333333332	-0.12365420459415989 0.0008 0.008
8.771666666666665	-0.14459029038245924 0.0008 0.008
8.804999999999996	-0.16504563364082614 0.0008 0.008
8.838333333333333	-0.1830557900843856 0.0008 0.008
8.871666666666664	-0.20040261740014206 0.0008 0.008
8.905	-0.21562211814017207 0.0008 0.008
8.938333333333333	-0.22969554251668983 0.0008 0.008
8.971666666666664	-0.24172751943115944 0.0008 0.008
9.004999999999997	-0.25164399653811376 0.0008 0.008
9.038333333333332	-0.2594313255170828 0.0008 0.008
9.071666666666664	-0.2650312417775252 0.0008 0.008
